N, Time, Converged?, EigValue
2500, 1.60e-02, 1, 22302.293199
2500, 1.59e-02, 1, 22302.293199
2500, 1.60e-02, 1, 22302.293199
5000, 2.08e-02, 1, 44750.729311
5000, 2.04e-02, 1, 44750.729311
5000, 2.06e-02, 1, 44750.729311
7500, 2.30e-02, 1, 67214.508348
7500, 2.27e-02, 1, 67214.508348
7500, 2.29e-02, 1, 67214.508348
10000, 2.35e-02, 1, 89685.464765
10000, 2.37e-02, 1, 89685.464765
10000, 2.36e-02, 1, 89685.464765
12500, 2.60e-02, 1, 112161.006552
12500, 2.62e-02, 1, 112161.006552
12500, 2.62e-02, 1, 112161.006552
15000, 2.64e-02, 1, 134639.248150
15000, 2.64e-02, 1, 134639.248150
15000, 2.63e-02, 1, 134639.248150
17500, 2.60e-02, 1, 157119.527084
17500, 2.59e-02, 1, 157119.527084
17500, 2.58e-02, 1, 157119.527084
20000, 2.72e-02, 1, 179601.323394
20000, 2.71e-02, 1, 179601.323394
20000, 2.73e-02, 1, 179601.323394
22500, 2.74e-02, 1, 202084.288137
22500, 2.74e-02, 1, 202084.288137
22500, 2.72e-02, 1, 202084.288137
25000, 2.76e-02, 1, 224568.175751
25000, 2.76e-02, 1, 224568.175751
25000, 2.75e-02, 1, 224568.175751
27500, 2.76e-02, 1, 247052.807092
27500, 2.75e-02, 1, 247052.807092
27500, 2.79e-02, 1, 247052.807092
30000, 2.83e-02, 1, 269538.047717
30000, 2.83e-02, 1, 269538.047717
30000, 2.81e-02, 1, 269538.047717
32500, 2.85e-02, 1, 292023.794399
32500, 2.87e-02, 1, 292023.794399
32500, 2.86e-02, 1, 292023.794399
35000, 2.84e-02, 1, 314509.966360
35000, 2.84e-02, 1, 314509.966360
35000, 2.86e-02, 1, 314509.966360
37500, 2.96e-02, 1, 336996.499373
37500, 2.94e-02, 1, 336996.499373
37500, 2.95e-02, 1, 336996.499373
40000, 3.00e-02, 1, 359483.341661
40000, 2.99e-02, 1, 359483.341661
40000, 2.99e-02, 1, 359483.341661
42500, 3.03e-02, 1, 381970.450981
42500, 3.04e-02, 1, 381970.450981
42500, 3.03e-02, 1, 381970.450981
45000, 3.04e-02, 1, 404457.792503
45000, 3.05e-02, 1, 404457.792503
45000, 3.05e-02, 1, 404457.792503
47500, 3.06e-02, 1, 426945.337237
47500, 2.95e-02, 1, 426945.337237
47500, 2.95e-02, 1, 426945.337237
50000, 2.96e-02, 1, 449433.060849
50000, 2.92e-02, 1, 449433.060849
50000, 2.85e-02, 1, 449433.060849
52500, 2.87e-02, 1, 471920.942755
52500, 2.89e-02, 1, 471920.942755
52500, 2.78e-02, 1, 471920.942755
55000, 2.75e-02, 1, 494408.965425
55000, 2.83e-02, 1, 494408.965425
55000, 2.75e-02, 1, 494408.965425
57500, 2.71e-02, 1, 516897.113829
57500, 2.70e-02, 1, 516897.113829
57500, 2.70e-02, 1, 516897.113829
60000, 2.65e-02, 1, 539385.375011
60000, 2.65e-02, 1, 539385.375011
60000, 2.52e-02, 1, 539385.375011
62500, 2.54e-02, 1, 561873.737737
62500, 2.55e-02, 1, 561873.737737
62500, 2.54e-02, 1, 561873.737737
65000, 2.44e-02, 1, 584348.656358
65000, 2.35e-02, 1, 584348.656358
65000, 2.46e-02, 1, 584348.656358
67500, 2.39e-02, 1, 606836.346227
67500, 2.37e-02, 1, 606836.346227
67500, 2.41e-02, 1, 606836.346227
70000, 2.40e-02, 1, 629324.102814
70000, 2.40e-02, 1, 629324.102814
70000, 2.41e-02, 1, 629324.102814
72500, 2.42e-02, 1, 651811.920138
72500, 2.47e-02, 1, 651811.920138
72500, 2.42e-02, 1, 651811.920138
75000, 2.53e-02, 1, 674299.792911
75000, 2.55e-02, 1, 674299.792911
75000, 2.53e-02, 1, 674299.792911
77500, 2.57e-02, 1, 696787.716443
77500, 2.59e-02, 1, 696787.716443
77500, 2.68e-02, 1, 696787.716443
80000, 2.65e-02, 1, 719275.686558
80000, 2.63e-02, 1, 719275.686558
80000, 2.61e-02, 1, 719275.686558
82500, 2.66e-02, 1, 741763.699525
82500, 2.67e-02, 1, 741763.699525
82500, 2.80e-02, 1, 741763.699525
85000, 2.79e-02, 1, 764251.752001
85000, 2.80e-02, 1, 764251.752001
85000, 2.79e-02, 1, 764251.752001
87500, 2.86e-02, 1, 786739.840983
87500, 3.00e-02, 1, 786739.840983
87500, 2.98e-02, 1, 786739.840983
90000, 3.11e-02, 1, 809227.963765
90000, 3.10e-02, 1, 809227.963765
90000, 3.08e-02, 1, 809227.963765
92500, 3.18e-02, 1, 831716.117900
92500, 3.21e-02, 1, 831716.117900
92500, 3.18e-02, 1, 831716.117900
95000, 3.28e-02, 1, 854204.301173
95000, 3.29e-02, 1, 854204.301173
95000, 3.28e-02, 1, 854204.301173
97500, 3.38e-02, 1, 876692.511573
97500, 3.39e-02, 1, 876692.511573
97500, 3.39e-02, 1, 876692.511573
100000, 3.47e-02, 1, 899180.747269
100000, 3.46e-02, 1, 899180.747269
100000, 3.47e-02, 1, 899180.747269
102500, 3.55e-02, 1, 921669.006592
102500, 3.55e-02, 1, 921669.006592
102500, 3.55e-02, 1, 921669.006592
105000, 3.64e-02, 1, 944157.288016
105000, 3.65e-02, 1, 944157.288016
105000, 3.62e-02, 1, 944157.288016
107500, 3.70e-02, 1, 966645.590143
107500, 3.69e-02, 1, 966645.590143
107500, 3.71e-02, 1, 966645.590143
110000, 3.78e-02, 1, 989133.911693
110000, 3.78e-02, 1, 989133.911693
110000, 3.80e-02, 1, 989133.911693
112500, 3.84e-02, 1, 1011622.251486
112500, 3.85e-02, 1, 1011622.251486
112500, 3.84e-02, 1, 1011622.251486
115000, 3.52e-02, 1, 1034069.844567
115000, 3.51e-02, 1, 1034069.844567
115000, 3.44e-02, 1, 1034069.844567
117500, 3.50e-02, 1, 1056557.040371
117500, 3.50e-02, 1, 1056557.040371
117500, 3.51e-02, 1, 1056557.040371
120000, 3.55e-02, 1, 1079044.248996
120000, 3.55e-02, 1, 1079044.248996
120000, 3.54e-02, 1, 1079044.248996
122500, 3.64e-02, 1, 1101531.469715
122500, 3.60e-02, 1, 1101531.469715
122500, 3.73e-02, 1, 1101531.469715
125000, 3.75e-02, 1, 1124018.701853
125000, 3.77e-02, 1, 1124018.701853
125000, 3.75e-02, 1, 1124018.701853
127500, 3.85e-02, 1, 1146505.944784
127500, 3.81e-02, 1, 1146505.944784
127500, 3.73e-02, 1, 1146505.944784
130000, 3.78e-02, 1, 1168993.197928
130000, 3.77e-02, 1, 1168993.197928
130000, 3.80e-02, 1, 1168993.197928
132500, 3.86e-02, 1, 1191480.460746
132500, 3.84e-02, 1, 1191480.460746
132500, 3.88e-02, 1, 1191480.460746
135000, 3.91e-02, 1, 1213967.732734
135000, 3.93e-02, 1, 1213967.732734
135000, 3.90e-02, 1, 1213967.732734
137500, 3.98e-02, 1, 1236455.013426
137500, 3.97e-02, 1, 1236455.013426
137500, 3.98e-02, 1, 1236455.013426
140000, 4.02e-02, 1, 1258942.302385
140000, 4.03e-02, 1, 1258942.302385
140000, 4.02e-02, 1, 1258942.302385
142500, 4.18e-02, 1, 1281429.599201
142500, 4.15e-02, 1, 1281429.599201
142500, 4.16e-02, 1, 1281429.599201
145000, 4.22e-02, 1, 1303916.903495
145000, 4.21e-02, 1, 1303916.903495
145000, 4.20e-02, 1, 1303916.903495
147500, 4.28e-02, 1, 1326404.214908
147500, 4.29e-02, 1, 1326404.214908
147500, 4.31e-02, 1, 1326404.214908
150000, 4.37e-02, 1, 1348891.533106
150000, 4.40e-02, 1, 1348891.533106
150000, 4.38e-02, 1, 1348891.533106
152500, 4.48e-02, 1, 1371378.857774
152500, 4.46e-02, 1, 1371378.857774
152500, 4.44e-02, 1, 1371378.857774
155000, 4.52e-02, 1, 1393866.188617
155000, 4.53e-02, 1, 1393866.188617
155000, 4.54e-02, 1, 1393866.188617
157500, 4.56e-02, 1, 1416353.525358
157500, 4.55e-02, 1, 1416353.525358
157500, 4.57e-02, 1, 1416353.525358
160000, 4.58e-02, 1, 1438840.867736
160000, 4.61e-02, 1, 1438840.867736
160000, 4.61e-02, 1, 1438840.867736
162500, 4.65e-02, 1, 1461328.215505
162500, 4.66e-02, 1, 1461328.215505
162500, 4.66e-02, 1, 1461328.215505
165000, 4.70e-02, 1, 1483815.568433
165000, 4.71e-02, 1, 1483815.568433
165000, 4.66e-02, 1, 1483815.568433
167500, 4.74e-02, 1, 1506302.926302
167500, 4.75e-02, 1, 1506302.926302
167500, 4.75e-02, 1, 1506302.926302
170000, 4.80e-02, 1, 1528790.288904
170000, 4.82e-02, 1, 1528790.288904
170000, 4.80e-02, 1, 1528790.288904
172500, 4.86e-02, 1, 1551277.656045
172500, 4.86e-02, 1, 1551277.656045
172500, 4.85e-02, 1, 1551277.656045
175000, 4.89e-02, 1, 1573765.027541
175000, 4.85e-02, 1, 1573765.027541
175000, 4.86e-02, 1, 1573765.027541
177500, 4.37e-02, 1, 1596161.040131
177500, 4.38e-02, 1, 1596161.040131
177500, 4.37e-02, 1, 1596161.040131
180000, 4.46e-02, 1, 1618646.893800
180000, 4.43e-02, 1, 1618646.893800
180000, 4.44e-02, 1, 1618646.893800
182500, 4.48e-02, 1, 1641132.750593
182500, 4.48e-02, 1, 1641132.750593
182500, 4.47e-02, 1, 1641132.750593
185000, 4.52e-02, 1, 1663618.610388
185000, 4.54e-02, 1, 1663618.610388
185000, 4.52e-02, 1, 1663618.610388
187500, 4.56e-02, 1, 1686104.473069
187500, 4.56e-02, 1, 1686104.473069
187500, 4.56e-02, 1, 1686104.473069
190000, 4.60e-02, 1, 1708590.338527
190000, 4.61e-02, 1, 1708590.338527
190000, 4.60e-02, 1, 1708590.338527
192500, 4.65e-02, 1, 1731076.206658
192500, 4.64e-02, 1, 1731076.206658
192500, 4.65e-02, 1, 1731076.206658
195000, 4.60e-02, 1, 1753562.077364
195000, 4.60e-02, 1, 1753562.077364
195000, 4.64e-02, 1, 1753562.077364
197500, 4.69e-02, 1, 1776047.950550
197500, 4.73e-02, 1, 1776047.950550
197500, 4.77e-02, 1, 1776047.950550
200000, 4.78e-02, 1, 1798533.826126
200000, 4.80e-02, 1, 1798533.826126
200000, 4.78e-02, 1, 1798533.826126
202500, 4.81e-02, 1, 1821019.704009
202500, 4.84e-02, 1, 1821019.704009
202500, 4.83e-02, 1, 1821019.704009
205000, 4.85e-02, 1, 1843505.584115
205000, 4.87e-02, 1, 1843505.584115
205000, 4.88e-02, 1, 1843505.584115
207500, 4.92e-02, 1, 1865991.466368
207500, 4.85e-02, 1, 1865991.466368
207500, 4.85e-02, 1, 1865991.466368
210000, 4.90e-02, 1, 1888477.350695
210000, 4.94e-02, 1, 1888477.350695
210000, 4.97e-02, 1, 1888477.350695
212500, 5.01e-02, 1, 1910963.237024
212500, 4.98e-02, 1, 1910963.237024
212500, 5.03e-02, 1, 1910963.237024
215000, 5.06e-02, 1, 1933449.125287
215000, 5.06e-02, 1, 1933449.125287
215000, 5.06e-02, 1, 1933449.125287
217500, 5.11e-02, 1, 1955935.015422
217500, 5.11e-02, 1, 1955935.015422
217500, 5.09e-02, 1, 1955935.015422
220000, 5.13e-02, 1, 1978420.907365
220000, 5.15e-02, 1, 1978420.907365
220000, 5.15e-02, 1, 1978420.907365
222500, 5.19e-02, 1, 2000906.801059
222500, 5.20e-02, 1, 2000906.801059
222500, 5.20e-02, 1, 2000906.801059
225000, 5.26e-02, 1, 2023392.696446
225000, 5.27e-02, 1, 2023392.696446
225000, 5.28e-02, 1, 2023392.696446
227500, 5.29e-02, 1, 2045878.593473
227500, 5.29e-02, 1, 2045878.593473
227500, 5.31e-02, 1, 2045878.593473
230000, 5.34e-02, 1, 2068364.492089
230000, 5.31e-02, 1, 2068364.492089
230000, 5.32e-02, 1, 2068364.492089
232500, 5.36e-02, 1, 2090850.392243
232500, 5.37e-02, 1, 2090850.392243
232500, 5.34e-02, 1, 2090850.392243
235000, 5.40e-02, 1, 2113336.293887
235000, 5.34e-02, 1, 2113336.293887
235000, 5.36e-02, 1, 2113336.293887
237500, 5.38e-02, 1, 2135822.196978
237500, 5.37e-02, 1, 2135822.196978
237500, 5.34e-02, 1, 2135822.196978
240000, 5.40e-02, 1, 2158308.101470
240000, 5.41e-02, 1, 2158308.101470
240000, 5.38e-02, 1, 2158308.101470
242500, 5.41e-02, 1, 2180794.007322
242500, 5.45e-02, 1, 2180794.007322
242500, 5.45e-02, 1, 2180794.007322
245000, 5.46e-02, 1, 2203279.914493
245000, 5.49e-02, 1, 2203279.914493
245000, 5.48e-02, 1, 2203279.914493
247500, 5.54e-02, 1, 2225765.822945
247500, 5.55e-02, 1, 2225765.822945
247500, 5.50e-02, 1, 2225765.822945
250000, 5.57e-02, 1, 2248251.732640
250000, 5.56e-02, 1, 2248251.732640
250000, 5.56e-02, 1, 2248251.732640
252500, 5.66e-02, 1, 2270737.643543
252500, 5.60e-02, 1, 2270737.643543
252500, 5.59e-02, 1, 2270737.643543
255000, 5.63e-02, 1, 2293223.555618
255000, 5.68e-02, 1, 2293223.555618
255000, 5.63e-02, 1, 2293223.555618
257500, 5.66e-02, 1, 2315709.468834
257500, 5.68e-02, 1, 2315709.468834
257500, 5.68e-02, 1, 2315709.468834
260000, 5.71e-02, 1, 2338195.383158
260000, 5.71e-02, 1, 2338195.383158
260000, 5.70e-02, 1, 2338195.383158
262500, 5.74e-02, 1, 2360681.298559
262500, 5.79e-02, 1, 2360681.298559
262500, 5.77e-02, 1, 2360681.298559
265000, 5.79e-02, 1, 2383167.215008
265000, 5.83e-02, 1, 2383167.215008
265000, 5.85e-02, 1, 2383167.215008
267500, 5.88e-02, 1, 2405653.132476
267500, 5.87e-02, 1, 2405653.132476
267500, 5.87e-02, 1, 2405653.132476
270000, 5.90e-02, 1, 2428139.050936
270000, 5.91e-02, 1, 2428139.050936
270000, 5.89e-02, 1, 2428139.050936
272500, 5.95e-02, 1, 2450624.970361
272500, 5.95e-02, 1, 2450624.970361
272500, 5.94e-02, 1, 2450624.970361
275000, 5.97e-02, 1, 2473110.890725
275000, 5.97e-02, 1, 2473110.890725
275000, 5.99e-02, 1, 2473110.890725
277500, 6.00e-02, 1, 2495596.812004
277500, 6.01e-02, 1, 2495596.812004
277500, 5.98e-02, 1, 2495596.812004
280000, 5.26e-02, 1, 2517880.319989
280000, 5.24e-02, 1, 2517880.319989
280000, 5.28e-02, 1, 2517880.319989
282500, 5.32e-02, 1, 2540364.256041
282500, 5.35e-02, 1, 2540364.256041
282500, 5.34e-02, 1, 2540364.256041
285000, 5.38e-02, 1, 2562848.192750
285000, 5.44e-02, 1, 2562848.192750
285000, 5.34e-02, 1, 2562848.192750
287500, 5.39e-02, 1, 2585332.130099
287500, 5.39e-02, 1, 2585332.130099
287500, 5.39e-02, 1, 2585332.130099
290000, 5.44e-02, 1, 2607816.068073
290000, 5.46e-02, 1, 2607816.068073
290000, 5.41e-02, 1, 2607816.068073
292500, 5.48e-02, 1, 2630300.006655
292500, 5.49e-02, 1, 2630300.006655
292500, 5.47e-02, 1, 2630300.006655
295000, 5.55e-02, 1, 2652783.945831
295000, 5.55e-02, 1, 2652783.945831
295000, 5.55e-02, 1, 2652783.945831
297500, 5.59e-02, 1, 2675267.885586
297500, 5.62e-02, 1, 2675267.885586
297500, 5.62e-02, 1, 2675267.885586
300000, 5.64e-02, 1, 2697751.825905
300000, 5.66e-02, 1, 2697751.825905
300000, 5.63e-02, 1, 2697751.825905
302500, 5.68e-02, 1, 2720235.766776
302500, 5.67e-02, 1, 2720235.766776
302500, 5.68e-02, 1, 2720235.766776
305000, 5.72e-02, 1, 2742719.708184
305000, 5.72e-02, 1, 2742719.708184
